,order_book_id,underlying_symbol,market_tplus,symbol,margin_rate,maturity_date,type,trading_code,exchange,product,contract_multiplier,round_lot,trading_hours,listed_date,industry_name,de_listed_date,underlying_order_book_id,start_delivery_date,end_delivery_date
0,A0303,A,0.0,豆一0303,0.05,2003-03-14,Future,a0303,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2002-03-15,油脂,2003-03-14,null,2003-03-17,2003-03-21
1,A0305,A,0.0,豆一0305,0.05,2003-05-23,Future,a0305,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2002-03-15,油脂,2003-05-23,null,2003-05-26,2003-05-30
2,A0307,A,0.0,豆一0307,0.05,2003-07-14,Future,a0307,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2002-03-15,油脂,2003-07-14,null,2003-07-15,2003-07-21
3,A0309,A,0.0,豆一0309,0.05,2003-09-12,Future,a0309,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2002-05-22,油脂,2003-09-12,null,2003-09-15,2003-09-19
4,A0311,A,0.0,豆一0311,0.05,2003-11-14,Future,a0311,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2002-05-22,油脂,2003-11-14,null,2003-11-17,2003-11-21
5,A0401,A,0.0,豆一0401,0.05,2004-01-15,Future,a0401,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2002-07-15,油脂,2004-01-15,null,2004-01-16,2004-01-29
6,A0403,A,0.0,豆一0403,0.05,2004-03-12,Future,a0403,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2002-09-16,油脂,2004-03-12,null,2004-03-15,2004-03-19
7,A0405,A,0.0,豆一0405,0.05,2004-05-21,Future,a0405,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2002-11-15,油脂,2004-05-21,null,2004-05-24,2004-05-28
8,A0407,A,0.0,豆一0407,0.05,2004-07-14,Future,a0407,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2003-01-16,油脂,2004-07-14,null,2004-07-15,2004-07-21
9,A0409,A,0.0,豆一0409,0.05,2004-09-14,Future,a0409,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2003-03-17,油脂,2004-09-14,null,2004-09-15,2004-09-21
10,A0411,A,0.0,豆一0411,0.05,2004-11-12,Future,a0411,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2003-05-26,油脂,2004-11-12,null,2004-11-15,2004-11-19
11,A0501,A,0.0,豆一0501,0.05,2005-01-17,Future,a0501,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2003-07-15,油脂,2005-01-17,null,2005-01-18,2005-01-24
12,A0503,A,0.0,豆一0503,0.05,2005-03-14,Future,a0503,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2003-09-15,油脂,2005-03-14,null,2005-03-15,2005-03-21
13,A0505,A,0.0,豆一0505,0.05,2005-05-20,Future,a0505,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2003-11-17,油脂,2005-05-20,null,2005-05-23,2005-05-27
14,A0507,A,0.0,豆一0507,0.05,2005-07-14,Future,a0507,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2004-01-16,油脂,2005-07-14,null,2005-07-15,2005-07-21
15,A0509,A,0.0,豆一0509,0.05,2005-09-14,Future,a0509,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2004-03-15,油脂,2005-09-14,null,2005-09-15,2005-09-21
16,A0511,A,0.0,豆一0511,0.05,2005-11-14,Future,a0511,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2004-05-24,油脂,2005-11-14,null,2005-11-15,2005-11-21
17,A0601,A,0.0,豆一0601,0.05,2006-01-17,Future,a0601,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2004-07-15,油脂,2006-01-17,null,2006-01-18,2006-01-24
18,A0603,A,0.0,豆一0603,0.05,2006-03-14,Future,a0603,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2004-09-15,油脂,2006-03-14,null,2006-03-15,2006-03-21
19,A0605,A,0.0,豆一0605,0.05,2006-05-19,Future,a0605,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2004-11-15,油脂,2006-05-19,null,2006-05-22,2006-05-26
20,A0607,A,0.0,豆一0607,0.05,2006-07-14,Future,a0607,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2005-01-18,油脂,2006-07-14,null,2006-07-17,2006-07-21
21,A0609,A,0.0,豆一0609,0.05,2006-09-14,Future,a0609,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2005-03-15,油脂,2006-09-14,null,2006-09-15,2006-09-21
22,A0611,A,0.0,豆一0611,0.05,2006-11-14,Future,a0611,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2005-05-23,油脂,2006-11-14,null,2006-11-15,2006-11-21
23,A0701,A,0.0,豆一0701,0.05,2007-01-17,Future,a0701,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2005-07-15,油脂,2007-01-17,null,2007-01-18,2007-01-24
24,A0703,A,0.0,豆一0703,0.05,2007-03-14,Future,a0703,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2005-09-15,油脂,2007-03-14,null,2007-03-15,2007-03-21
25,A0705,A,0.0,豆一0705,0.05,2007-05-21,Future,a0705,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2005-11-15,油脂,2007-05-21,null,2007-05-22,2007-05-28
26,A0707,A,0.0,豆一0707,0.05,2007-07-13,Future,a0707,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2006-01-18,油脂,2007-07-13,null,2007-07-16,2007-07-20
27,A0709,A,0.0,豆一0709,0.05,2007-09-14,Future,a0709,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2006-03-15,油脂,2007-09-14,null,2007-09-17,2007-09-21
28,A0711,A,0.0,豆一0711,0.05,2007-11-14,Future,a0711,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2006-05-22,油脂,2007-11-14,null,2007-11-15,2007-11-21
29,A0801,A,0.0,豆一0801,0.05,2008-01-15,Future,a0801,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2006-07-17,油脂,2008-01-15,null,2008-01-16,2008-01-22
30,A0803,A,0.0,豆一0803,0.05,2008-03-14,Future,a0803,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2006-09-15,油脂,2008-03-14,null,2008-03-17,2008-03-21
31,A0805,A,0.0,豆一0805,0.05,2008-05-16,Future,a0805,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2006-11-15,油脂,2008-05-16,null,2008-05-19,2008-05-23
32,A0807,A,0.0,豆一0807,0.05,2008-07-14,Future,a0807,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2007-01-18,油脂,2008-07-14,null,2008-07-15,2008-07-21
33,A0809,A,0.0,豆一0809,0.05,2008-09-12,Future,a0809,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2007-03-15,油脂,2008-09-12,null,2008-09-16,2008-09-19
34,A0811,A,0.0,豆一0811,0.05,2008-11-14,Future,a0811,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2007-05-22,油脂,2008-11-14,null,2008-11-17,2008-11-21
35,A0901,A,0.0,豆一0901,0.05,2009-01-16,Future,a0901,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2007-07-16,油脂,2009-01-16,null,2009-01-19,2009-01-23
36,A0903,A,0.0,豆一0903,0.05,2009-03-13,Future,a0903,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2007-09-17,油脂,2009-03-13,null,2009-03-16,2009-03-20
37,A0905,A,0.0,豆一0905,0.05,2009-05-15,Future,a0905,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2007-11-15,油脂,2009-05-15,null,2009-05-18,2009-05-22
38,A0907,A,0.0,豆一0907,0.05,2009-07-14,Future,a0907,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2008-01-16,油脂,2009-07-14,null,2009-07-15,2009-07-21
39,A0909,A,0.0,豆一0909,0.05,2009-09-14,Future,a0909,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2008-03-17,油脂,2009-09-14,null,2009-09-15,2009-09-21
40,A0911,A,0.0,豆一0911,0.05,2009-11-13,Future,a0911,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2008-05-19,油脂,2009-11-13,null,2009-11-16,2009-11-20
41,A1001,A,0.0,豆一1001,0.05,2010-01-15,Future,a1001,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2008-07-15,油脂,2010-01-15,null,2010-01-18,2010-01-22
42,A1003,A,0.0,豆一1003,0.05,2010-03-12,Future,a1003,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2008-09-16,油脂,2010-03-12,null,2010-03-15,2010-03-19
43,A1005,A,0.0,豆一1005,0.05,2010-05-17,Future,a1005,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2008-11-17,油脂,2010-05-17,null,2010-05-18,2010-05-24
44,A1007,A,0.0,豆一1007,0.05,2010-07-14,Future,a1007,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2009-01-19,油脂,2010-07-14,null,2010-07-15,2010-07-21
45,A1009,A,0.0,豆一1009,0.05,2010-09-14,Future,a1009,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2009-03-16,油脂,2010-09-14,null,2010-09-15,2010-09-21
46,A1011,A,0.0,豆一1011,0.05,2010-11-12,Future,a1011,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2009-05-18,油脂,2010-11-12,null,2010-11-15,2010-11-19
47,A1101,A,0.0,豆一1101,0.05,2011-01-17,Future,a1101,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2009-07-15,油脂,2011-01-17,null,2011-01-18,2011-01-24
48,A1103,A,0.0,豆一1103,0.05,2011-03-14,Future,a1103,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2009-09-15,油脂,2011-03-14,null,2011-03-15,2011-03-21
49,A1105,A,0.0,豆一1105,0.05,2011-05-16,Future,a1105,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2009-11-16,油脂,2011-05-16,null,2011-05-17,2011-05-23
50,A1107,A,0.0,豆一1107,0.05,2011-07-14,Future,a1107,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2010-01-18,油脂,2011-07-14,null,2011-07-15,2011-07-21
51,A1109,A,0.0,豆一1109,0.05,2011-09-15,Future,a1109,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2010-03-15,油脂,2011-09-15,null,2011-09-16,2011-09-22
52,A1111,A,0.0,豆一1111,0.05,2011-11-14,Future,a1111,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2010-05-18,油脂,2011-11-14,null,2011-11-15,2011-11-21
53,A1201,A,0.0,豆一1201,0.05,2012-01-17,Future,a1201,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2010-07-15,油脂,2012-01-17,null,2012-01-18,2012-01-30
54,A1203,A,0.0,豆一1203,0.05,2012-03-14,Future,a1203,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2010-09-15,油脂,2012-03-14,null,2012-03-15,2012-03-21
55,A1205,A,0.0,豆一1205,0.05,2012-05-15,Future,a1205,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2010-11-15,油脂,2012-05-15,null,2012-05-16,2012-05-22
56,A1207,A,0.0,豆一1207,0.05,2012-07-13,Future,a1207,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2011-01-18,油脂,2012-07-13,null,2012-07-16,2012-07-20
57,A1209,A,0.0,豆一1209,0.05,2012-09-14,Future,a1209,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2011-03-15,油脂,2012-09-14,null,2012-09-17,2012-09-21
58,A1211,A,0.0,豆一1211,0.05,2012-11-14,Future,a1211,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2011-05-17,油脂,2012-11-14,null,2012-11-15,2012-11-21
59,A1301,A,0.0,豆一1301,0.05,2013-01-17,Future,a1301,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2011-07-15,油脂,2013-01-17,null,2013-01-18,2013-01-24
60,A1303,A,0.0,豆一1303,0.05,2013-03-14,Future,a1303,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2011-09-16,油脂,2013-03-14,null,2013-03-15,2013-03-21
61,A1305,A,0.0,豆一1305,0.05,2013-05-15,Future,a1305,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2011-11-15,油脂,2013-05-15,null,2013-05-16,2013-05-22
62,A1307,A,0.0,豆一1307,0.05,2013-07-12,Future,a1307,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2012-01-18,油脂,2013-07-12,null,2013-07-15,2013-07-19
63,A1309,A,0.0,豆一1309,0.05,2013-09-13,Future,a1309,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2012-03-15,油脂,2013-09-13,null,2013-09-16,2013-09-23
64,A1311,A,0.0,豆一1311,0.05,2013-11-14,Future,a1311,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2012-05-16,油脂,2013-11-14,null,2013-11-15,2013-11-21
65,A1401,A,0.0,豆一1401,0.05,2014-01-15,Future,a1401,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2012-07-16,油脂,2014-01-15,null,2014-01-16,2014-01-22
66,A1403,A,0.0,豆一1403,0.05,2014-03-14,Future,a1403,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2012-09-17,油脂,2014-03-14,null,2014-03-17,2014-03-21
67,A1405,A,0.0,豆一1405,0.05,2014-05-16,Future,a1405,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2012-11-15,油脂,2014-05-16,null,2014-05-19,2014-05-23
68,A1407,A,0.0,豆一1407,0.05,2014-07-14,Future,a1407,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2013-01-18,油脂,2014-07-14,null,2014-07-15,2014-07-21
69,A1409,A,0.0,豆一1409,0.05,2014-09-15,Future,a1409,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2013-03-15,油脂,2014-09-15,null,2014-09-16,2014-09-18
70,A1411,A,0.0,豆一1411,0.05,2014-11-14,Future,a1411,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2013-05-16,油脂,2014-11-14,null,2014-11-17,2014-11-19
71,A1501,A,0.0,豆一1501,0.05,2015-01-16,Future,a1501,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2013-07-15,油脂,2015-01-16,null,2015-01-19,2015-01-21
72,A1503,A,0.0,豆一1503,0.05,2015-03-13,Future,a1503,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2013-09-16,油脂,2015-03-13,null,2015-03-16,2015-03-18
73,A1505,A,0.0,豆一1505,0.05,2015-05-15,Future,a1505,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2013-11-15,油脂,2015-05-15,null,2015-05-18,2015-05-20
74,A1507,A,0.0,豆一1507,0.05,2015-07-14,Future,a1507,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2014-01-16,油脂,2015-07-14,null,2015-07-15,2015-07-17
75,A1509,A,0.0,豆一1509,0.05,2015-09-16,Future,a1509,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2014-03-17,油脂,2015-09-16,null,2015-09-17,2015-09-21
76,A1511,A,0.0,豆一1511,0.05,2015-11-13,Future,a1511,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2014-05-19,油脂,2015-11-13,null,2015-11-16,2015-11-18
77,A1601,A,0.0,豆一1601,0.05,2016-01-15,Future,a1601,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2014-07-15,油脂,2016-01-15,null,2016-01-18,2016-01-20
78,A1603,A,0.0,豆一1603,0.05,2016-03-14,Future,a1603,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2014-09-16,油脂,2016-03-14,null,2016-03-15,2016-03-17
79,A1605,A,0.0,豆一1605,0.07,2016-05-16,Future,a1605,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2014-11-17,油脂,2016-05-16,null,2016-05-17,2016-05-19
80,A1607,A,0.0,豆一1607,0.07,2016-07-14,Future,a1607,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2015-01-19,油脂,2016-07-14,null,2016-07-15,2016-07-19
81,A1609,A,0.0,豆一1609,0.07,2016-09-14,Future,a1609,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2015-03-16,油脂,2016-09-14,null,2016-09-19,2016-09-21
82,A1611,A,0.0,豆一1611,0.07,2016-11-14,Future,a1611,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2015-05-18,油脂,2016-11-14,null,2016-11-15,2016-11-17
83,A1701,A,0.0,豆一1701,0.07,2017-01-16,Future,a1701,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2015-07-15,油脂,2017-01-16,null,2017-01-17,2017-01-19
84,A1703,A,0.0,豆一1703,0.07,2017-03-14,Future,a1703,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2015-09-17,油脂,2017-03-14,null,2017-03-15,2017-03-17
85,A1705,A,0.0,黄大豆1号1705,0.2,2017-05-15,Future,a1705,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2015-11-16,油脂,2017-05-15,null,2017-05-16,2017-05-18
86,A1707,A,0.0,黄大豆1号1707,0.2,2017-07-14,Future,a1707,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2016-01-18,油脂,2017-07-14,null,2017-07-17,2017-07-19
87,A1709,A,0.0,黄大豆1号1709,0.2,2017-09-14,Future,a1709,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2016-03-15,油脂,2017-09-14,null,2017-09-15,2017-09-19
88,A1711,A,0.0,黄大豆1号1711,0.2,2017-11-14,Future,a1711,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2016-05-17,油脂,2017-11-14,null,2017-11-15,2017-11-17
89,A1801,A,0.0,黄大豆1号1801,0.2,2018-01-15,Future,a1801,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2016-07-15,油脂,2018-01-15,null,2018-01-16,2018-01-18
90,A1803,A,0.0,黄大豆1号1803,0.2,2018-03-14,Future,a1803,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2016-09-19,油脂,2018-03-14,null,2018-03-15,2018-03-19
91,A1805,A,0.0,黄大豆1号1805,0.2,2018-05-15,Future,a1805,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2016-11-15,油脂,2018-05-15,null,2018-05-16,2018-05-18
92,A1807,A,0.0,黄大豆1号1807,0.2,2018-07-13,Future,a1807,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2017-01-17,油脂,2018-07-13,null,2018-07-16,2018-07-18
93,A1809,A,0.0,黄大豆1号1809,0.2,2018-09-14,Future,a1809,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2017-03-15,油脂,2018-09-14,null,2018-09-17,2018-09-19
94,A1811,A,0.0,黄大豆1号1811,0.2,2018-11-14,Future,a1811,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2017-05-16,油脂,2018-11-14,,2018-11-15,2018-11-19
95,A1901,A,0.0,黄大豆1号1901,0.2,2019-01-15,Future,a1901,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2017-07-17,油脂,2019-01-15,,2019-01-16,2019-01-18
96,A1903,A,0.0,黄大豆1号1903,0.2,2019-03-14,Future,a1903,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2017-09-15,油脂,2019-03-14,,2019-03-15,2019-03-19
97,A1905,A,0.0,黄大豆1号1905,0.2,2019-05-17,Future,a1905,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2017-11-15,油脂,2019-05-17,,2019-05-20,2019-05-22
98,A1907,A,0.0,黄大豆1号1907,0.2,2019-07-12,Future,a1907,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2018-01-16,油脂,2019-07-12,,2019-07-15,2019-07-17
99,A1909,A,0.0,黄大豆1号1909,0.2,2019-09-16,Future,a1909,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2018-03-15,油脂,2019-09-16,,2019-09-17,2019-09-19
100,A1911,A,0.0,黄大豆1号1911,0.2,2019-11-14,Future,a1911,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2018-05-16,油脂,2019-11-14,,2019-11-15,2019-11-19
101,A2001,A,0.0,黄大豆1号2001,0.2,2020-01-15,Future,a2001,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2018-07-16,油脂,2020-01-15,,2020-01-16,2020-01-20
102,A2003,A,0.0,黄大豆1号2003,0.2,2020-03-13,Future,a2003,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2019-03-15,油脂,2020-03-13,null,2020-03-16,2020-03-18
103,A2005,A,0.0,黄大豆1号2005,0.2,2020-05-19,Future,a2005,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2019-05-20,油脂,2020-05-19,null,2020-05-20,2020-05-22
104,A2007,A,0.0,黄大豆1号2007,0.2,2020-07-14,Future,a2007,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2019-07-15,油脂,2020-07-14,null,2020-07-15,2020-07-17
105,A2009,A,0.0,黄大豆1号2009,0.2,2020-09-14,Future,a2009,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2019-09-17,油脂,2020-09-14,null,2020-09-15,2020-09-17
106,A2011,A,0.0,黄大豆1号2011,0.2,2020-11-13,Future,a2011,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2019-11-15,油脂,2020-11-13,null,2020-11-16,2020-11-18
107,A2101,A,0.0,黄大豆1号2101,0.2,2021-01-15,Future,a2101,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2020-01-16,油脂,2021-01-15,null,2021-01-18,2021-01-20
108,A2103,A,0.0,黄大豆1号2103,0.2,2021-03-12,Future,a2103,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2020-03-16,油脂,2021-03-12,null,2021-03-15,2021-03-17
109,A2105,A,0.0,黄大豆1号2105,0.2,2021-05-19,Future,a2105,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2020-05-20,油脂,2021-05-19,null,2021-05-20,2021-05-24
110,A2107,A,0.0,黄大豆1号2107,0.2,2021-07-14,Future,a2107,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2020-07-15,油脂,2021-07-14,,2021-07-15,2021-07-19
111,A2109,A,0.0,黄大豆1号2109,0.2,2021-09-14,Future,a2109,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2020-09-15,油脂,2021-09-14,,2021-09-15,2021-09-17
112,A2111,A,0.0,黄大豆1号2111,0.2,2021-11-12,Future,a2111,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2020-11-16,油脂,2021-11-12,,2021-11-15,2021-11-17
113,A2201,A,0.0,黄大豆1号2201,0.2,2022-01-17,Future,a2201,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2021-01-18,油脂,2022-01-17,,2022-01-18,2022-01-20
